Time,Open,High,Low,Close,Volume,VWAP
1593185160,2.4,2.4,2.4,2.4,9.0,2.637062
1593185220,2.45,2.45,2.45,2.45,3.0,2.636976
1593185280,2.48,2.48,2.47,2.48,42.0,2.63596
1593185340,2.42,2.42,2.42,2.42,50.0,2.634327
1593185400,2.44,2.44,2.44,2.44,2.0,2.634268
1593185460,2.42,2.42,2.42,2.42,10.0,2.633945
1593185520,2.41,2.42,2.39,2.4,9.0,2.633632
1593185580,2.39,2.39,2.35,2.35,81.0,2.630399
1593185640,2.37,2.37,2.37,2.37,1.0,2.63036
1593185820,2.44,2.44,2.44,2.44,1.0,2.630332
1593185880,2.49,2.49,2.49,2.49,10.0,2.630123
1593186000,2.47,2.47,2.47,2.47,10.0,2.629885
1593186120,2.39,2.41,2.39,2.41,2.0,2.629817
1593186180,2.4,2.4,2.4,2.4,4.0,2.629681
1593186360,2.4,2.4,2.4,2.4,45.0,2.628157
1593186600,2.49,2.49,2.49,2.49,18.0,2.627792
1593186660,2.49,2.49,2.48,2.48,7.0,2.627649
1593186840,2.4,2.4,2.4,2.4,1.0,2.627615
1593186900,2.4,2.4,2.39,2.39,41.0,2.626197
1593186960,2.38,2.41,2.37,2.41,71.0,2.623614
1593187020,2.44,2.45,2.44,2.45,9.0,2.623379
1593187200,2.44,2.45,2.42,2.42,123.0,2.619858
1593187260,2.41,2.41,2.41,2.41,7.0,2.61965
1593187320,2.37,2.37,2.36,2.36,156.0,2.614044
1593187380,2.36,2.38,2.36,2.36,14.0,2.613557
1593187440,2.37,2.38,2.37,2.38,6.0,2.613362
1593187500,2.39,2.39,2.39,2.39,50.0,2.61183
1593187560,2.37,2.37,2.35,2.36,35.0,2.610598
1593187680,2.34,2.35,2.34,2.35,73.0,2.607928
1593187740,2.34,2.34,2.34,2.34,1.0,2.607892
1593187800,2.32,2.35,2.32,2.35,13.0,2.607394
1593187860,2.36,2.36,2.36,2.36,1.0,2.607361
1593187920,2.31,2.31,2.29,2.29,18.0,2.606621
1593187980,2.29,2.29,2.29,2.29,1.0,2.606579
1593188040,2.28,2.28,2.27,2.27,6.0,2.606311
1593188100,2.29,2.29,2.29,2.29,1.0,2.606269
1593188160,2.25,2.25,2.25,2.25,68.0,2.603041
1593188220,2.25,2.25,2.2,2.2,24.0,2.601796
1593188280,2.2,2.2,2.2,2.2,12.0,2.601157
1593188340,2.19,2.2,2.19,2.19,5.0,2.600887
1593188400,2.16,2.17,2.11,2.12,57.0,2.597476
1593188460,2.21,2.21,2.21,2.21,1.0,2.597425
1593188520,2.2,2.2,2.18,2.18,12.0,2.596796
1593188580,2.23,2.23,2.23,2.23,1.0,2.596748
1593188640,2.24,2.24,2.24,2.24,10.0,2.59628
1593188700,2.23,2.23,2.23,2.23,18.0,2.595418
1593188760,2.28,2.28,2.28,2.28,55.0,2.593165
1593188880,2.28,2.28,2.28,2.28,1.0,2.593125
1593188940,2.28,2.28,2.28,2.28,1.0,2.593084
1593189000,2.28,2.28,2.28,2.28,23.0,2.592152
1593189060,2.25,2.25,2.23,2.23,33.0,2.590614
1593189120,2.21,2.22,2.21,2.21,41.0,2.588625
1593189240,2.24,2.24,2.24,2.24,10.0,2.588179
1593189300,2.22,2.22,2.22,2.22,2.0,2.588084
1593189540,2.3,2.3,2.3,2.3,1.0,2.588048
1593189600,2.27,2.27,2.24,2.24,38.0,2.586451
1593189660,2.2,2.2,2.2,2.2,2.0,2.586352
1593189720,2.23,2.23,2.23,2.23,2.0,2.586262
1593189780,2.2,2.2,2.19,2.2,58.0,2.583429
1593189840,2.22,2.22,2.19,2.19,11.0,2.582921
1593189960,2.2,2.2,2.2,2.2,2.0,2.582824
1593190020,2.22,2.22,2.22,2.22,1.0,2.582779
1593190080,2.23,2.3,2.23,2.28,135.0,2.577873
1593190140,2.27,2.27,2.27,2.27,1.0,2.577835
1593190200,2.24,2.24,2.22,2.23,14.0,2.577232
1593190500,2.28,2.29,2.27,2.27,151.0,2.571728
1593190560,2.26,2.26,2.26,2.26,1.0,2.57169
1593190620,2.27,2.27,2.27,2.27,4.0,2.571543
1593190740,2.32,2.32,2.32,2.32,1.0,2.571513
1593190800,2.3,2.3,2.3,2.3,1.0,2.57148
1593190860,2.27,2.27,2.27,2.27,1.0,2.571443
1593190920,2.36,2.36,2.33,2.33,29.0,2.570683
1593191040,2.29,2.29,2.29,2.29,10.0,2.570344
1593191400,2.32,2.32,2.32,2.32,25.0,2.56959
1593191580,2.3,2.3,2.3,2.3,11.0,2.569233
1593191700,2.3,2.3,2.3,2.3,25.0,2.568426
1593191880,2.29,2.29,2.29,2.29,10.0,2.568092
1593192000,2.32,2.32,2.32,2.32,40.0,2.566909
1593192060,2.3,2.31,2.3,2.31,11.0,2.566571
1593192180,2.36,2.36,2.36,2.36,10.0,2.566325
1593192240,2.34,2.34,2.34,2.34,1.0,2.566298
1593192300,2.3,2.31,2.3,2.31,3.0,2.566206
1593192420,2.36,2.36,2.36,2.36,261.0,2.56
1593192480,2.36,2.37,2.36,2.37,2.0,2.559955
1593192960,2.3,2.3,2.28,2.28,56.0,2.558285
1593193020,2.37,2.4,2.37,2.4,7.0,2.558141
1593193080,2.4,2.4,2.4,2.4,50.0,2.557241
1593193260,2.34,2.36,2.33,2.33,60.0,2.555783
1593193380,2.33,2.33,2.33,2.33,10.0,2.555528
1593193440,2.33,2.33,2.33,2.33,3.0,2.555452
1593193500,2.32,2.32,2.32,2.32,2.0,2.555399
1593193560,2.31,2.31,2.3,2.3,27.0,2.554651
1593193800,2.32,2.32,2.32,2.32,1.0,2.554625
1593193920,2.31,2.31,2.31,2.31,1.0,2.554597
1593193980,2.27,2.29,2.27,2.29,59.0,2.552748
1593194040,2.31,2.31,2.31,2.31,14.0,2.552369
1593194160,2.3,2.3,2.3,2.3,1.0,2.552341
1593194220,2.3,2.3,2.3,2.3,1.0,2.552313
1593194280,2.3,2.3,2.3,2.3,2.0,2.552256
