Time,Open,High,Low,Close,Volume,VWAP
2020-07-09 06:56:00,4.71,4.72,4.71,4.72,11.0,4.7263839999999995
2020-07-09 06:57:00,4.73,4.74,4.71,4.71,50.0,4.726367
2020-07-09 06:58:00,4.68,4.68,4.62,4.68,18.0,4.726057
2020-07-09 06:59:00,4.71,4.72,4.71,4.72,2.0,4.726051
2020-07-09 07:00:00,4.74,4.82,4.74,4.78,28.0,4.726488
2020-07-09 07:01:00,4.75,4.82,4.75,4.82,3.0,4.726547
2020-07-09 07:02:00,4.8,4.82,4.8,4.81,21.0,4.7270449999999995
2020-07-09 07:03:00,4.79,4.84,4.79,4.81,119.0,4.729643
2020-07-09 07:04:00,4.82,4.83,4.82,4.83,13.0,4.729978
2020-07-09 07:05:00,4.81,4.81,4.78,4.78,12.0,4.730154
2020-07-09 07:06:00,4.72,4.75,4.72,4.75,8.0,4.730188
2020-07-09 07:07:00,4.8,4.84,4.8,4.84,22.0,4.730804
2020-07-09 07:08:00,4.84,4.84,4.78,4.78,9.0,4.730995
2020-07-09 07:09:00,4.78,4.78,4.72,4.77,45.0,4.731254
2020-07-09 07:10:00,4.76,4.76,4.69,4.73,37.0,4.731152
2020-07-09 07:11:00,4.63,4.63,4.45,4.47,86.0,4.727493
2020-07-09 07:12:00,4.55,4.7,4.55,4.7,46.0,4.726555
2020-07-09 07:13:00,4.67,4.67,4.6,4.62,29.0,4.725919
2020-07-09 07:14:00,4.59,4.63,4.59,4.6,62.0,4.724021
2020-07-09 07:15:00,4.54,4.54,4.45,4.47,37.0,4.721702
2020-07-09 07:16:00,4.45,4.45,4.37,4.37,105.0,4.713404
2020-07-09 07:17:00,4.37,4.38,4.23,4.29,484.0,4.668695
2020-07-09 07:18:00,4.28,4.35,4.28,4.33,101.0,4.66143
2020-07-09 07:19:00,4.23,4.25,4.19,4.25,73.0,4.654884
2020-07-09 07:20:00,4.25,4.27,4.2,4.21,139.0,4.644107
2020-07-09 07:21:00,4.27,4.39,4.27,4.39,128.0,4.637568
2020-07-09 07:22:00,4.38,4.42,4.36,4.41,437.0,4.617253
2020-07-09 07:23:00,4.34,4.34,4.33,4.33,6.0,4.616948000000001
2020-07-09 07:24:00,4.36,4.36,4.28,4.31,82.0,4.612611
2020-07-09 07:25:00,4.31,4.34,4.3,4.34,24.0,4.611339
2020-07-09 07:26:00,4.4,4.43,4.4,4.42,47.0,4.6097220000000005
2020-07-09 07:27:00,4.45,4.45,4.34,4.34,245.0,4.600555
2020-07-09 07:28:00,4.33,4.33,4.24,4.24,9.0,4.600099
2020-07-09 07:29:00,4.27,4.3,4.27,4.3,7.0,4.599734
2020-07-09 07:30:00,4.28,4.37,4.28,4.37,23.0,4.598545
2020-07-09 07:31:00,4.35,4.38,4.35,4.37,35.0,4.5971910000000005
2020-07-09 07:32:00,4.4,4.4,4.38,4.4,53.0,4.595413
2020-07-09 07:33:00,4.39,4.39,4.32,4.32,65.0,4.592919
2020-07-09 07:34:00,4.28,4.32,4.26,4.32,82.0,4.588765
